onet_soc_code,title,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
11-1011.00,Chief Executives,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,45.91,08/2023,Incumbent,O*NET
11-1011.03,Chief Sustainability Officers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,74.07,08/2021,Occupational Expert,O*NET
11-1021.00,General and Operations Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),28.76,08/2023,Incumbent,O*NET
11-2011.00,Advertising and Promotions Managers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,72.87,08/2026,Incumbent,O*NET
11-2021.00,Marketing Managers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,80.08,08/2026,Incumbent,O*NET
11-2022.00,Sales Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,71.43,08/2025,Occupational Expert,O*NET
11-2032.00,Public Relations Managers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,83.33,08/2026,Occupational Expert,O*NET
11-2033.00,Fundraising Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,10.93,08/2025,Incumbent,O*NET
11-3012.00,Administrative Services Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),33.56,07/2017,Incumbent,O*NET
11-3013.00,Facilities Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,57.34,08/2024,Incumbent,O*NET
11-3013.01,Security Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,70.0,08/2025,Occupational Expert,O*NET
11-3021.00,Computer and Information Systems Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,47.68,07/2016,Incumbent,O*NET
11-3031.00,Financial Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,56.31,08/2022,Incumbent,O*NET
11-3031.01,Treasurers and Controllers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,48.0,08/2026,Occupational Expert,O*NET
11-3031.03,Investment Fund Managers,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,63.33,07/2014,Incumbent,O*NET
11-3051.00,Industrial Production Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),29.42,08/2021,Incumbent,O*NET
11-3051.01,Quality Control Systems Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,100.0,08/2022,Incumbent,O*NET
11-3051.02,Geothermal Production Managers,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,47.61,07/2011,Incumbent,O*NET
11-3051.03,Biofuels Production Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,45.44,07/2016,Incumbent,O*NET
11-3051.04,Biomass Power Plant Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,61.49,08/2020,Incumbent,O*NET
11-3051.06,Hydroelectric Production Managers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,28.95,07/2016,Incumbent,O*NET
11-3061.00,Purchasing Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,52.63,08/2023,Occupational Expert,O*NET
11-3071.04,Supply Chain Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,66.67,07/2017,Occupational Expert,O*NET
11-3111.00,Compensation and Benefits Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,76.19,08/2023,Occupational Expert,O*NET
11-3121.00,Human Resources Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,81.82,08/2025,Occupational Expert,O*NET
11-3131.00,Training and Development Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,71.43,08/2024,Occupational Expert,O*NET
11-9021.00,Construction Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,40.0,08/2025,Occupational Expert,O*NET
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,43.75,08/2026,Occupational Expert,O*NET
11-9032.00,"Education Administrators, Kindergarten through Secondary",RQ,Required Level Of Education (Categories 1-12),8,Master's Degree,62.27,08/2026,Incumbent,O*NET
11-9033.00,"Education Administrators, Postsecondary",RL,Required Level Of Education (Categories 1-12),8,Master's Degree,47.94,08/2018,Incumbent,O*NET
11-9041.00,Architectural and Engineering Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,45.52,08/2020,Incumbent,O*NET
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,55.44,07/2014,Incumbent,O*NET
11-9051.00,Food Service Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),29.66,08/2025,Incumbent,O*NET
11-9071.00,Gambling Managers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),56.51,08/2023,Incumbent,O*NET
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,56.48,08/2026,Incumbent,O*NET
11-9081.00,Lodging Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,71.6,07/2017,Incumbent,O*NET
11-9111.00,Medical and Health Services Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,46.43,08/2022,Occupational Expert,O*NET
11-9121.00,Natural Sciences Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,35.07,08/2021,Incumbent,O*NET
11-9121.01,Clinical Research Coordinators,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,60.13,08/2021,Incumbent,O*NET
11-9121.02,Water Resource Specialists,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,50.0,08/2020,Occupational Expert,O*NET
11-9131.00,Postmasters and Mail Superintendents,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),62.1,07/2016,Incumbent,O*NET
11-9141.00,"Property, Real Estate, and Community Association Managers",RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,48.15,08/2026,Occupational Expert,O*NET
11-9151.00,Social and Community Service Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,50.36,08/2018,Incumbent,O*NET
11-9161.00,Emergency Management Directors,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,59.09,08/2023,Occupational Expert,O*NET
11-9171.00,Funeral Home Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,49.85,08/2024,Incumbent,O*NET
11-9179.01,Fitness and Wellness Coordinators,RL,Required Level Of Education (Categories 1-12),8,Master's Degree,50.0,08/2022,Occupational Expert,O*NET
11-9179.02,Spa Managers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),20.46,08/2026,Incumbent,O*NET
11-9199.01,Regulatory Affairs Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,73.91,08/2024,Occupational Expert,O*NET
11-9199.02,Compliance Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,63.38,08/2019,Incumbent,O*NET
11-9199.08,Loss Prevention Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,54.55,08/2019,Occupational Expert,O*NET
11-9199.09,Wind Energy Operations Managers,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,39.7,08/2021,Incumbent,O*NET
11-9199.10,Wind Energy Development Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,66.85,07/2016,Incumbent,O*NET
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,77.27,08/2021,Occupational Expert,O*NET
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,41.33,08/2020,Incumbent,O*NET
13-1021.00,"Buyers and Purchasing Agents, Farm Products",RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,1.11,08/2026,Incumbent,O*NET
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),16.25,08/2026,Incumbent,O*NET
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,65.0,08/2025,Occupational Expert,O*NET
13-1031.00,"Claims Adjusters, Examiners, and Investigators",RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,55.82,08/2022,Incumbent,O*NET
13-1032.00,"Insurance Appraisers, Auto Damage",RL,Required Level Of Education (Categories 1-12),4,Some College Courses,30.6,07/2016,Incumbent,O*NET
13-1041.01,Environmental Compliance Inspectors,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,75.0,08/2021,Occupational Expert,O*NET
13-1041.03,Equal Opportunity Representatives and Officers,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,65.76,07/2015,Incumbent,O*NET
13-1041.04,Government Property Inspectors and Investigators,RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,39.34,07/2016,Incumbent,O*NET
